Rank,Company Name,3-Year % Growth,Revenue,Industry,# of Employees,City,State
1981, Costume Craze, 161%, $9.8 million, Retail, 45, Pleasant Grove, UT
1982, Doyles, 161%, $28.5 million, Energy, 179, Corpus Christi, TX
1983, Kolkhorst Petroleum, 161%, $93.3 million, Energy, 75, Navasota, TX
1985, Davis Trucking, 161%, $15.3 million, Logistics & Transportation, 40, San Diego, CA
1986, Custom Manufacturing Solutions, 161%, $33.5 million, Manufacturing, 146, Xenia, OH
1987, Advantage Engineering & IT Solutions, 161%, $4.9 million, Government Services, 23, Eldersburg, MD
1988, Comprobase, 161%, $3.5 million, IT Services, 40, Reston, VA
1989, Blue Baker, 161%, $3.7 million, Food & Beverage, 88, College Station, TX
1990, Proto Labs, 161%, $44.4 million, Manufacturing, 275, Maple Plain, MN
1991, Dig Communications, 161%, $6.1 million, Advertising & Marketing, 36, Chicago, IL
1992, White Horse, 160%, $8.9 million, Advertising & Marketing, 35, Portland, OR
1993, Page One Public Relations, 160%, $4.5 million, Advertising & Marketing, 18, Palo Alto, CA
1994, Option Investments, 160%, $8.2 million, Financial Services, 53, Irvine, CA
1995, Discovery - The Financial Information Group, 160%, $6.3 million, Financial Services, 34, Shrewsbury, NJ
1996, TelePacific Communications, 160%, $443.9 million, Telecommunications, 1100, Los Angeles, CA
1997, Topline Products, 160%, $84 million, Consumer Products & Services, 37, Wayne, NJ
1998, Wiredrive, 160%, $2.9 million, Software, 22, Marina del Rey, CA
1999, Advanced Federal Services, 160%, $25.5 million, Government Services, 355, Madison, AL
2000, MDS Medical Software, 160%, $2.7 million, Health, 12, Scottsdale, AZ
2001, The FruitGuys, 160%, $7.7 million, Food & Beverage, 35, South San Francsico, CA
2002, KingLinen, 159%, $6.3 million, Retail, 5, Fontana, CA
2003, GTM Sportswear, 159%, $43.1 million, Consumer Products & Services, 500, Manhattan, KS
2004, Wpromote, 159%, $7.1 million, Advertising & Marketing, 49, El Segundo, CA
2005, ESW, 159%, $4.2 million, Education, 83, Crown Point, IN
2006, SenDEC, 159%, $43.2 million, Manufacturing, 150, Fairport, NY
2007, Asset Protection & Security Services, 159%, $57.4 million, Security, 587, CORPUS CHRISTI, TX
2008, National Recovery Agency & American Agencies, 159%, $32 million, Financial Services, 180, Harrisburg, PA
2009, New Editions Consulting, 159%, $7 million, Government Services, 41, McLean, VA
2011, AgencyPort Insurance Services, 158%, $14.1 million, Software, 86, Boston, MA
2012, Career Sports & Entertainment, 158%, $19.3 million, Advertising & Marketing, 130, Atlanta, GA
2013, Beacon Hill Staffing Group, 158%, $45.7 million, Human Resources, 112, Boston, MA
2014, Clarity Solution Group, 158%, $9.1 million, IT Services, 8, Palatine, IL
2015, Expedited Logistics and Freight Services, 158%, $29.5 million, Logistics & Transportation, 65, Houston, TX
2016, Industrial Staffing Services, 158%, $21.1 million, Human Resources, 16, East Brunswick, NJ
2017, Sunray Enterprise, 158%, $5.8 million, IT Services, 20, Atlanta, GA
2018, Compass Homes, 158%, $3.6 million, Construction, 6, Delaware, OH
2019, Quake Global, 158%, $20.2 million, Telecommunications, 33, San Diego, CA
2020, MX Logic, 158%, $20.3 million, Security, 203, Englewood, CO
2021, Symphony Tables, 158%, $2.1 million, Manufacturing, 4, Acworth, GA
2022, Renewal Design-Build, 158%, $4.3 million, Construction, 14, Decatur, GA
2023, Vocera, 157%, $39.8 million, Health, 130, San Jose, CA
2024, GovDelivery, 157%, $6.6 million, Government Services, 48, Saint Paul, MN
2025, Taphandles, 157%, $7.3 million, Manufacturing, 330, Seattle, WA
2026, Evergreen Lumber & Truss, 157%, $10.1 million, Manufacturing, 91, Purvis, MS
2027, Clarity, 157%, $22.9 million, Logistics & Transportation, 31, Gainesville, GA
2028, Worktank, 157%, $6.8 million, Advertising & Marketing, 60, Seattle, WA
2029, Rosati Windows, 157%, $263.7 million, Manufacturing, 82, Columbus, OH
2030, Rapid Repair, 157%, $263.7 million, Consumer Products & Services, 16, Kalamazoo, MI
2031, Restaurant Technologies, 157%, $263.7 million, Food & Beverage, 573, Eagan, MN
2032, Partners Consulting Services, 157%, $68.1 million, IT Services, 500, Buena Park, CA
2033, On Board Entertainment, 157%, $14.4 million, Advertising & Marketing, 15, Sausalito, CA
2034, Vista Window, 157%, $21.3 million, Manufacturing, 180, Warren, OH
2035, Brooklyn Industries, 157%, $12.2 million, Retail, 123, Brooklyn, NY
2036, Great Expressions Dental Centers, 157%, $117.9 million, Health, 1100, Bloomfield Hills, MI
2037, Integra Staffing, 157%, $8.8 million, Human Resources, 300, Charlotte, NC
2038, OAKLEAF, 156%, $594.6 million, Business Products & Services, 750, Windsor, CT
2039, Glazer-Kennedy Insider's Circle, 156%, $15 million, Advertising & Marketing, 27, Towson, MD
2040, Triple Point Technology, 156%, $70.5 million, Software, 415, Westport, CT
2041, Late July Organic Snacks, 156%, $7.7 million, Food & Beverage, 12, Barnstable, MA
2042, Elite CME, 156%, $3.1 million, Education, 12, Ormond Beach, FL
2043, People Creating Success, 156%, $9.8 million, Health, 361, Ventura, CA
2044, Niagara Conservation, 156%, $62.6 million, Environmental Services, 72, Cedar Knolls, NJ
2045, Stanek Holdco, 156%, $50.5 million, Construction, 140, Golden, CO
2046, Decision Resources Group, 156%, $94.1 million, Health, 434, Burlington, MA
2047, VIP Mortgage, 156%, $2.5 million, Financial Services, 32, Hurst, TX
2048, Labor Law Center, 156%, $4.2 million, Business Products & Services, 31, Garden Grove, CA
2049, Affordable Concepts, 155%, $59.2 million, Construction, 55, North Las Vegas, NV
2050, Perimeter Technology, 155%, $6.7 million, IT Services, 24, Oklahoma City, OK
2051, Prairie City Bakery, 155%, $15.1 million, Food & Beverage, 8, Vernon Hills, IL
2052, Zebra Construction Company, 155%, $38.8 million, Construction, 165, Suwanee, GA
2053, TravelClick, 155%, $177.3 million, Travel, 475, New York, NY
2054, ePromos Promotional Products, 155%, $5.2 million, Business Products & Services, 10, New York, NY
2055, Fisher Tank Company, 155%, $80.7 million, Construction, 260, Chester, PA
2056, Capital H Group, 155%, $34 million, Human Resources, 130, Chicago, IL
2057, Compressor World, 155%, $3.5 million, Business Products & Services, 2, South Easton, MA
2058, PuroClean, 155%, $8.7 million, Environmental Services, 30, Tamarac, FL
2059, Sales Optimizer, 155%, $2 million, Business Products & Services, 15, Altamonte Springs, FL
2060, Tarte, 155%, $10.1 million, Consumer Products & Services, 21, New York, NY
2061, Hanover Fire & Casualty Insurance, 154%, $4.7 million, Insurance, 13, Conshohocken, PA
2062, Area51-ESG, 154%, $20.9 million, Computer Hardware, 49, Irvine, CA
2063, Access Insurance Holdings, 154%, $222.7 million, Insurance, 368, Atlanta, GA
2064, PLS Financial Services, 154%, $209.7 million, Financial Services, 2909, Chicago, IL
2065, Long Wave, 154%, $26.2 million, Government Services, 71, Oklahoma City, OK
2066, Advisors Mortgage Group, 154%, $10 million, Financial Services, 200, Wall, NJ
2067, Horizon Marketing Group, 154%, $4.8 million, Advertising & Marketing, 55, Rocky Hill, CT
2068, Montesquieu, 154%, $23.6 million, Food & Beverage, 108, San Diego, CA
2069, Cellular Sales of Knoxville, 154%, $207.3 million, Retail, 185, Knoxville, TN
2070, United Staffing Associates, 154%, $35.8 million, Human Resources, 56, San Luis Obispo, CA
2071, Lightspeed Systems, 154%, $10.7 million, Software, 72, Bakersfield, CA
2072, Purchasing Power, 153%, $75.4 million, Business Products & Services, 100, Atlanta, GA
2073, NetQuote, 153%, $93 million, Insurance, 109, Denver, CO
2074, CustomInk, 153%, $59.6 million, Consumer Products & Services, 221, McLean, VA
2075, Alliance, 153%, $7.8 million, Manufacturing, 12, Valparaiso, IN
2076, Milestone, 153%, $21.2 million, IT Services, 607, Fremont, CA
2077, Culpepper & Associates Security Services, 153%, $7.3 million, Security, 300, Atlanta, GA
2078, Business Network Consulting, 153%, $5.5 million, IT Services, 38, Denver, CO
2079, The Human Capital Group, 153%, $2.3 million, Human Resources, 18, Brentwood, TN
2080, Signum Group, 153%, $7.3 million, Business Products & Services, 27, Atlanta, GA
2081, NetQoS, 153%, $56.5 million, Software, 253, Austin, TX
2082, Higuera Hardwoods, 153%, $2.3 million, Consumer Products & Services, 10, Poulsbo, WA
2083, Crystal Finishing Systems, 153%, $74.9 million, Manufacturing, 435, Schofield, WI
2084, Safeguard Properties, 153%, $404.1 million, Real Estate, 655, Valley View, OH
2085, New Creature Holdings, 153%, $23.2 million, Business Products & Services, 25, Rogers, AR
2086, Scivantage, 152%, $27.3 million, Software, 103, JERSEY CITY, NJ
2087, Power Chord Academy, 152%, $2.6 million, Education, 8, Los Angeles, CA
2088, Maverick Dental Laboratories, 152%, $5.8 million, Health, 30, Export, PA
2089, Vertical Web Media, 152%, $11.3 million, Media, 30, Chicago, IL
2090, LMR Solutions, 152%, $5.4 million, IT Services, 40, Carlsbad, CA
2091, Inserso, 152%, $3.7 million, IT Services, 30, Annandale, VA
2092, Pest Away Exterminating, 152%, $2.9 million, Consumer Products & Services, 28, New York, NY
2093, PRO FOOD SYSTEMS, 152%, $11.6 million, Food & Beverage, 37, HOLTS SUMMIT, MO
2094, Primescape Solutions, 152%, $19.8 million, IT Services, 92, Herndon, VA
2095, JH Global Services, 152%, $9.8 million, Logistics & Transportation, 23, Simpsonville, SC
2096, Southern Prestige Industries, 151%, $8 million, Manufacturing, 74, Statesville, NC
2097, Alternate Solutions Homecare, 151%, $26.6 million, Health, 350, Kettering, OH
2098, Interactive Financial, 151%, $10.1 million, Financial Services, 462, Troy, MI
2099, DSP Clinical Research, 151%, $4.4 million, Health, 20, Parsippany, NJ
2100, Electrosoft Services, 151%, $2.3 million, IT Services, 20, Reston, VA
2101, Fierce, 151%, $3.4 million, Business Products & Services, 11, Seattle, WA
2102, PreludeSys, 151%, $13.2 million, IT Services, 114, DIAMOND BAR, CA
2103, Premiere Credit of North America, 151%, $19.8 million, Financial Services, 291, Indianapolis, IN
2104, Intekras, 151%, $6.7 million, Government Services, 55, Sterling, VA
2105, The Pater Group, 151%, $47.1 million, Business Products & Services, 205, Houston, TX
2106, MedNet Solutions, 151%, $11.7 million, Health, 78, Minnetonka, MN
2107, GreatMats.com, 151%, $6.1 million, Construction, 8, Milltown, WI
2108, PayChoice, 150%, $34.4 million, Human Resources, 325, Moorestown, NJ
2109, My Receptionist, 150%, $2.1 million, Business Products & Services, 75, Eau Claire, WI
2110, OneVoice Communications, 150%, $5.1 million, Telecommunications, 9, Herndon, VA
2111, iSi Environmental, 150%, $9.8 million, Environmental Services, 115, Wichita, KS
2112, Galypso International, 150%, $5.1 million, Business Products & Services, 4, San Antonio, TX
2113, US Trades, 150%, $14.8 million, Human Resources, 240, Indianapolis, IN
2114, Roys & Associates, 150%, $3.1 million, Human Resources, 10, Redondo Beach, CA
2115, Grant International, 150%, $50 million, Construction, 57, Long Island City, NY
2116, 21st Century Biochemicals, 150%, $2.7 million, Manufacturing, 24, Marlborough, MA
2117, Holiday Image, 150%, $8.4 million, Consumer Products & Services, 47, Long Island City, NY
2118, SRS Engineering, 150%, $5.4 million, Energy, 31, Murrieta, CA
2119, Hodyon, 150%, $12.6 million, Manufacturing, 39, Round Rock, TX
2121, Roof Solutions, 150%, $3.8 million, Construction, 24, Smyrna, GA
2122, Techbarn.com, 150%, $3.5 million, Advertising & Marketing, 35, Stillwater, MN
2123, Knowledge Systems, 149%, $21.8 million, IT Services, 15, Vienna, VA
2124, ValueCentric Marketing Group, 149%, $7.5 million, Software, 30, Binghamton, NY
2125, Technical Consumer Products (TCP), 149%, $287 million, Consumer Products & Services, 200, Aurora, OH
2126, Uniflex Church Furnishings, 149%, $4.5 million, Manufacturing, 23, Gainesville, TX
2127, TMW Systems, 149%, $62.7 million, Logistics & Transportation, 317, Beachwood, OH
2128, Strictly By The Book, 149%, $46.5 million, Consumer Products & Services, 111, Fall River, MA
2129, Verinon Technology Solutions, 149%, $34.6 million, IT Services, 325, Arlington Heights, IL
2130, Verathon, 149%, $109.3 million, Health, 380, Bothell, WA
2131, Cables Plus, 149%, $5.3 million, Telecommunications, 12, Henrico, VA
2132, Greene Resources, 149%, $33.8 million, Human Resources, 32, Raleigh, NC
2133, Fraser Communications, 149%, $42 million, Advertising & Marketing, 36, Los Angeles, CA
2134, Rock Creek Strategic Marketing, 149%, $3.5 million, Advertising & Marketing, 28, Chevy Chase, MD
2135, Birch Communications, 149%, $150.8 million, Telecommunications, 330, Macon, GA
2136, Credent Technologies, 148%, $6.7 million, IT Services, 85, South Windsor, CT
2137, Connextions, 148%, $100.3 million, Software, 2300, Orlando, FL
2138, Total Hockey, 148%, $10.1 million, Retail, 96, Maryland Heights, MO
2139, Merrick Systems, 148%, $11.6 million, Energy, 66, Houston, TX
2140, We R Memory Keepers, 148%, $9.3 million, Consumer Products & Services, 30, Salt Lake City, UT
2141, BOC International, 148%, $20.7 million, Logistics & Transportation, 36, Boston, MA
2142, Arizona Blinds, 148%, $3 million, Consumer Products & Services, 10, Peoria, AZ
2143, GMI (Global Market Insite), 148%, $62.6 million, Advertising & Marketing, 225, Bellevue, WA
2144, WellMed Medical Management, 148%, $560.7 million, Health, 1163, San Antonio, TX
2145, Savannah Bee Company, 148%, $2 million, Retail, 14, Savannah, GA
2146, Apex Technology Group, 148%, $14.6 million, IT Services, 142, Edison, NJ
2147, Teracore, 148%, $11.1 million, Government Services, 52, Norcross, GA
2148, Duo Consulting, 148%, $4.7 million, IT Services, 34, Chicago, IL
2149, Republic Wire, 148%, $180.6 million, Manufacturing, 85, West Chester, OH
2150, Capital Media Group, 148%, $60.3 million, Computer Hardware, 20, Gahanna, OH
2151, Strategic Micro Systems, 148%, $2.1 million, IT Services, 14, Parsippany, NJ
2152, Medgluv, 147%, $10.2 million, Health, 6, Fort Lauderdale, FL
2153, Cellular Specialties, 147%, $42.5 million, Telecommunications, 118, Manchester, NH
2154, Adaptive Solutions, 147%, $5.4 million, IT Services, 25, Norristown, PA
2155, Accounting Management Solutions, 147%, $15.9 million, Financial Services, 103, Waltham, MA
2156, Top Flite Financial, 147%, $7.4 million, Financial Services, 250, Williamston, MI
2157, Granite, 146%, $359.6 million, Telecommunications, 625, Quincy, MA
2157, Insight Sourcing Group, 146%, $3.9 million, Business Products & Services, 18, Norcross, GA
2158, PCD Group, 146%, $2.1 million, Advertising & Marketing, 9, Portland, OR
2159, Rod Works, 146%, $4.5 million, Retail, 60, Lehi, UT
2160, Global Aircraft Services, 146%, $5.9 million, Logistics & Transportation, 5, Seattle, WA
2161, Executive Communications, 146%, $4.8 million, Business Products & Services, 17, Louisville, KY
2162, Sage Environmental Consulting, 146%, $18.3 million, Environmental Services, 227, Austin, TX
2163, Symmetri Marketing Group, 146%, $2.4 million, Advertising & Marketing, 18, Chicago, IL
2164, Hello Metro, 146%, $4.7 million, Travel, 13, Louisville, KY
2165, e-Management, 146%, $12 million, Government Services, 60, Silver Spring, MD
2166, Jacquette Consulting, 146%, $3.2 million, IT Services, 26, Malvern, PA
2167, Traube Tent, 146%, $4.6 million, Construction, 45, Columbia, IL
2168, Vigilan, 146%, $3.5 million, Software, 15, Willsonville, OR
2169, Busey Group, 146%, $21.6 million, Government Services, 245, Oklahoma City, OK
2170, SchoolDude.com, 145%, $14.4 million, Education, 116, Cary, NC
2171, M-Pak, 145%, $2.6 million, Business Products & Services, 4, Aledo, TX
2172, TIG Global, 145%, $28.7 million, Advertising & Marketing, 117, Chevy Chase, MD
2173, Vehicle Tracking Solutions, 145%, $7.3 million, Logistics & Transportation, 40, Deer Park, NY
2174, Nutiva, 145%, $6.5 million, Food & Beverage, 6, Oxnard, CA
2175, Harmonia, 145%, $3.2 million, Software, 32, Blacksburg, VA
2176, Practice Management Center, 145%, $4.7 million, Health, 125, North Tonawanda, NY
2177, SureScore, 145%, $3 million, Education, 40, Austin, TX
2178, Emergent Medical Associates, 145%, $2.5 million, Health, 11, Manhattan Beach, CA
2179, Perimeter E-Security, 145%, $57.5 million, Security, 325, Milford, CT
2180, Highlander Vinyl Railing, 145%, $3.7 million, Business Products & Services, 30, Greenville, GA
2181, Rothstein Kass, 145%, $168.5 million, Financial Services, 929, Roseland, NJ
2182, Meltmedia, 145%, $2.1 million, IT Services, 17, Tempe, AZ
2183, PrintRunner, 145%, $9.3 million, Business Products & Services, 64, Chatsworth, CA
2184, 80sTees.com, 145%, $10.6 million, Retail, 15, Mt. Pleasant, PA
2185, TriNet, 145%, $103.4 million, Human Resources, 400, San Leandro, CA
2186, Online Stores, 144%, $20.7 million, Retail, 90, New Stanton, PA
2187, CustomWeather, 144%, $2.1 million, Business Products & Services, 20, San Francisco, CA
2188, Peaksware, 144%, $2.1 million, Software, 20, Lafayette, CO
2188, Odyssey Technical Solutions, 144%, $4.1 million, Business Products & Services, 30, Round Rock, TX
2189, OpTech, 144%, $10 million, IT Services, 62, Troy, MI
2190, Precision Swiss Products, 144%, $4.8 million, Manufacturing, 46, Milpitas, CA
2191, Logic Supply, 144%, $10.6 million, Computer Hardware, 28, South Burlington, VT
2192, J.L. Moore, 144%, $11.1 million, Construction, 24, Columbia Station, OH
2193, Renovation by MyHome, 144%, $29 million, Construction, 50, New York, NY
2194, PerformTech, 144%, $15.3 million, Government Services, 59, Alexandria, VA
2195, Mosaic, 144%, $4.1 million, Government Services, 15, Oak Hill, VA
2196, Quality Label, 144%, $7.8 million, Business Products & Services, 50, Elk River, MN
2197, Carousel Industries, 144%, $147.2 million, Telecommunications, 500, Exeter, RI
2198, Noble Investment Group, 144%, $383.4 million, Travel, 7500, Atlanta, GA
2199, Open Systems Technologies, 144%, $33.3 million, IT Services, 80, Grand Rapids, MI
2200, SAI Systems International, 143%, $9.7 million, IT Services, 180, Shelton, CT
2201, Futura Services, 143%, $8.3 million, IT Services, 41, Fort Washington, PA
2202, Veterans Home Care, 143%, $5.7 million, Health, 30, Saint Louis, MO
2203, MarketSphere Consulting, 143%, $62.1 million, Business Products & Services, 254, Kansas City, MO
2204, Resource Interactive, 143%, $39.2 million, Advertising & Marketing, 220, Columbus, OH
2205, Junxure, 143%, $3.3 million, Software, 27, Palm Beach Gardens, FL
2206, Royal Plus, 143%, $25.5 million, Construction, 100, Snow Hill, MD
2207, Keystrokes Transcription Service, 143%, $11.1 million, Health, 472, Yorkville, IL
2208, All Systems Go, 143%, $4 million, Construction, 50, North Las Vegas, NV
2209, The Aagard Group, 143%, $16 million, Manufacturing, 67, Alexandria, MN
2210, CentraComm, 142%, $6.4 million, IT Services, 19, Findlay, OH
2211, Zia Engineering, 142%, $5.2 million, Engineering, 94, Las Cruces, NM
2212, Farylrobin, 142%, $4.3 million, Consumer Products & Services, 8, New York, NY
2213, The Matrix Companies, 142%, $4 million, Business Products & Services, 44, Cincinnati, OH
2214, Altus Learning Systems, 142%, $5.8 million, Software, 24, Campbell, CA
2215, Infinity Network Solutions, 142%, $5.2 million, IT Services, 35, Macon, GA
2215, WebVisible, 142%, $10.7 million, Advertising & Marketing, 95, Irvine, CA
2216, Pump Engineering, 142%, $9.3 million, Manufacturing, 36, Monroe, MI
2217, NT Concepts, 142%, $9.4 million, IT Services, 35, Vienna, VA
2218, CompNation, 142%, $8.3 million, Retail, 23, Franklin, TN
2219, Weather Decision Technologies, 142%, $5.5 million, Business Products & Services, 55, Norman, OK
2220, McElvain Oil & Gas Properties, 141%, $85.9 million, Energy, 65, Denver, CO
2221, Visix, 141%, $5.8 million, Software, 29, Norcross, GA
2222, Beacon Application Services, 141%, $14.2 million, IT Services, 80, Framingham, MA
2223, Cornerstone Detention Products, 141%, $47.5 million, Construction, 115, Tanner, AL
2224, Bayshore Solutions, 141%, $5.6 million, Business Products & Services, 55, Tampa, FL
2225, PCI Millwork, 141%, $5.5 million, Construction, 20, Tucker, GA
2226, Primo Water, 141%, $36 million, Food & Beverage, 74, Winston-Salem, NC
2227, Kelton, 141%, $7.1 million, Advertising & Marketing, 25, Culver City, CA
2228, Fast Trac Transportation, 141%, $15.8 million, Logistics & Transportation, 58, Houston, TX
2229, Digital Insurance, 141%, $15.9 million, Insurance, 145, Atlanta, GA
2230, Trainz.com, 141%, $5.6 million, Retail, 22, Buford, GA
2231, Franklin American Mortgage, 140%, $154.8 million, Financial Services, 750, Franklin, TN
2232, KaMedData, 140%, $11.1 million, Health, 207, Pensacola, FL
2233, Consultedge, 140%, $30.5 million, Telecommunications, 100, Whippany, NJ
2234, C&K Systems, 140%, $2.8 million, IT Services, 21, Chesapeake, VA
2235, Par Avion Travel, 140%, $21.2 million, Travel, 18, Los Angeles, CA
2236, Language Services Associates, 140%, $17.5 million, Business Products & Services, 115, Horsham, PA
2237, Barhorst Insurance Group, 140%, $8.2 million, Insurance, 94, Houston, TX
2238, Evolution1, 140%, $22.2 million, Health, 68, Fargo, ND
2239, ICSN, 140%, $10.9 million, Manufacturing, 19, Corona, CA
2240, Corporate Floors, 140%, $5.8 million, Construction, 32, Grapevine, TX
2241, InsightsNow, 140%, $9 million, Advertising & Marketing, 41, Corvallis, OR
2242, Binary Tree, 140%, $15.5 million, Software, 65, Newark, NJ
2243, Argotek, 140%, $16.7 million, Government Services, 51, Chantilly, VA
2244, Martin Brothers Construction, 140%, $3.4 million, Construction, 80, Sacramento, CA
2245, Bar Harbor Foods, 140%, $3.4 million, Food & Beverage, 19, Whiting, ME
2246, Switchfast Technologies, 140%, $3.5 million, IT Services, 27, Chicago, IL
2247, Corporate Suites Business Centers, 140%, $12 million, Business Products & Services, 2, New York, NY
2248, Oracle Diagnostic Laboratories, 139%, $6.6 million, Health, 63, Davie, FL
2249, Digital Prospectors, 139%, $17.5 million, IT Services, 49, Exeter, NH
2250, Bluewolf, 139%, $29 million, IT Services, 175, New York City, NY
2251, IdentityMine, 139%, $6.8 million, Software, 62, Tacoma, WA
2252, MachineTools.com, 139%, $2.5 million, Manufacturing, 15, West Bloomfield, MI
2253, Enterprise Security, 139%, $4.3 million, Security, 25, Anaheim, CA
2254, Victor Results Advertising, 139%, $8.3 million, Advertising & Marketing, 17, Brentwood, TN
2255, OpticsPlanet, 139%, $51.2 million, Retail, 140, Northbrook, IL
2256, PWR, 139%, $26.7 million, Telecommunications, 100, Syracuse, NY
2257, JW Surety Bonds, 138%, $2.6 million, Insurance, 9, Pipersville, PA
2258, DoublePositive, 138%, $3.7 million, Advertising & Marketing, 13, Baltimore, MD
2259, Pyramid Systems, 138%, $13.5 million, Government Services, 85, Fairfax, VA
2260, Humble Abode, 138%, $3.6 million, Retail, 10, Santa Rosa, CA
2261, Arcus, 138%, $22.1 million, Human Resources, 58, Hummelstown, PA
2262, APS Lighting & Safety Products, 138%, $6.1 million, Construction, 15, San Diego, CA
2263, Anthem Media Group, 138%, $9.6 million, Advertising & Marketing, 169, Overland Park, KS
2264, TheAdmins, 138%, $5 million, IT Services, 15, Summit, NJ
2265, The Allied Power Group, 138%, $24.1 million, Energy, 75, Houston, TX
2266, Everyday Health, 138%, $70.6 million, Media, 250, New York, NY
2267, Digital Gateway, 138%, $9.3 million, Software, 60, Provo, UT
2268, Terry Environmental Services, 138%, $3 million, Environmental Services, 12, Summerville, SC
2269, Fleet Management Solutions, 138%, $5.2 million, Logistics & Transportation, 30, San Luis Obispo, CA
2270, Micah Group Energy & Environmental, 137%, $6.3 million, Environmental Services, 20, Lexington, KY
2271, Menlo Innovations, 137%, $3.7 million, Software, 12, Ann Arbor, MI
2272, Convergenz, 137%, $9.6 million, Human Resources, 160, McLean, VA
2273, Heat And Cool, 137%, $2.9 million, Construction, 8, Miami, FL
2274, Space Micro, 137%, $4.2 million, Government Services, 31, San Diego, CA
2275, SwipeClock, 137%, $3.3 million, Business Products & Services, 26, South Jordan, UT
2276, M3 Glass Technologies, 137%, $11.4 million, Manufacturing, 91, Irving, TX
2277, DataPipe, 137%, $55 million, IT Services, 225, Jersey City, NJ
2278, The Bare Board Group, 137%, $26.5 million, Computer Hardware, 21, Largo, FL
2279, Adia Kibur Accessories, 137%, $2.3 million, Consumer Products & Services, 10, Alhambra, CA
2280, Summit Technology, 136%, $8.2 million, IT Services, 41, Athens, AL
2281, 5W Public Relations, 136%, $11.9 million, Advertising & Marketing, 79, New York, NY
2282, Network9, 136%, $2.3 million, Telecommunications, 17, Dublin, OH
2283, Judicial Correction Services, 136%, $10.1 million, Security, 208, Atlanta, GA
2284, Hartung Brothers, 136%, $145.6 million, Food & Beverage, 95, Madison, WI
2285, Paramore | The Digital Agency, 136%, $3.8 million, Advertising & Marketing, 26, Nashville, TN
2286, Apparatus, 136%, $6.7 million, IT Services, 55, Indianapolis, IN
2287, Centra Bank, 135%, $76.9 million, Financial Services, 232, Morgantown, WV
2288, Diverse Lynx, 135%, $15.4 million, IT Services, 145, Princeton, NJ
2289, Newport Partners, 135%, $2.2 million, Engineering, 6, Davidsonville, MD
2290, GlobalEnglish, 135%, $28.6 million, Business Products & Services, 160, Brisbane, CA
2291, Intelligent Decisions, 135%, $221.1 million, IT Services, 213, Ashburn, VA
2292, Corso's Cookies, 135%, $2.3 million, Food & Beverage, 18, Syracuse, NY
2293, Mimeo.com, 135%, $61.7 million, Business Products & Services, 547, New York, NY
2294, Kaizen Technologies, 135%, $12.6 million, IT Services, 98, Edison, NJ
2295, Boston Interactive, 135%, $3.6 million, Advertising & Marketing, 24, Charlestown, MA
2296, Loop'd Network, 135%, $2 million, Media, 18, San Diego, CA
2297, Galaxy Desserts, 135%, $20.2 million, Food & Beverage, 200, Richmond, CA
2298, Capstone Brokerage, 135%, $2.3 million, Insurance, 25, Las Vegas, NV
2299, RPI, 135%, $21.1 million, Business Products & Services, 100, Seattle, WA
2299, Amity Technology, 134%, $49 million, Manufacturing, 75, Fargo, ND
2300, RehabAbilities, 134%, $8.1 million, Health, 472, Rancho Cucamonga, CA
2301, Edifecs, 134%, $14.5 million, Software, 64, Bellevue, WA
2302, Leviathan, 134%, $27.3 million, Business Products & Services, 12, Brooklyn, NY
2303, Nexius, 134%, $32.7 million, Telecommunications, 285, Allen, TX
2304, AOS, 134%, $128.8 million, IT Services, 205, Overland Park, KS
2305, MCAD Technologies, 134%, $9.4 million, IT Services, 30, Lakewood, CO
2306, Evocative, 134%, $3 million, IT Services, 6, Emeryville, CA
2307, New Light Learning and Development Inc., 134%, $376963, Education, 2, Coatesville, PA
2308, Ameridian Specialty Services, 133%, $8.1 million, Construction, 60, Cincinnati, OH
2309, NEXT Financial Holdings, 133%, $132.1 million, Financial Services, 125, Houston, TX
2310, American Biotech Labs, 133%, $6 million, Health, 25, Alpine, UT
2311, Proforma Brand Proformance, 133%, $2.2 million, Business Products & Services, 12, Houston, TX
2312, Donan Engineering, 133%, $16.2 million, Engineering, 117, Louisville, KY
2313, IMC Consulting, 133%, $6.5 million, Government Services, 14, Woodstock, MD
2314, Health Market Science, 133%, $28.7 million, Health, 144, King of Prussia, PA
2315, Dixie Medical, 133%, $10.2 million, Health, 12, Franklin, TN
2316, BroadSoft, 133%, $61.5 million, Telecommunications, 358, Gaithersburg, MD
2317, Integrated Design Group, 133%, $8.7 million, Engineering, 45, Boston, MA
2318, Testa Companies, 133%, $65.1 million, Construction, 44, Cuyahoga Falls, OH
2319, Twenty Four Seven, 133%, $13.7 million, Advertising & Marketing, 65, Portland, OR
2320, Burry Foodservice, 132%, $5.9 million, Food & Beverage, 4, Saint Charles, IL
2321, Providea Conferencing, 132%, $34.2 million, Telecommunications, 90, Camarillo, CA
2322, Safecore, 132%, $5.2 million, Security, 16, Burlington, MA
2323, Cyber Advisors, 132%, $6.3 million, IT Services, 43, Maple Grove, MN
2324, Bruce Clay, 132%, $5.2 million, Advertising & Marketing, 49, Moorpark, CA
2325, Trident Marketing, 132%, $10.5 million, Advertising & Marketing, 204, Southern Pines, NC
2326, Convergence Technology Consulting, 132%, $16.1 million, IT Services, 31, GLEN BURNIE, MD
